gene	GFP_rep1	GFP_rep2	GFP_rep3	WT_rep1	WT_rep2	WT_rep3	DA_rep1	DA_rep2	DA_rep3
ENSG00000020577	121	66	89	198	171	208	281	255	317
ENSG00000020633	31	28	26	36	43	46	93	111	125
ENSG00000020922	801	762	773	1272	1182	1084	1325	2039	2165
ENSG00000021300	80	72	54	102	112	95	183	229	236
ENSG00000021355	107	130	122	226	243	280	385	512	484
ENSG00000021461	2	0	0	0	0	0	2	1	1
ENSG00000021488	0	0	0	1	1	2	2	3	3
ENSG00000021574	712	580	518	1019	1221	1017	1375	2056	2154
ENSG00000021645	84	79	97	190	163	148	267	299	393
ENSG00000021762	11	3	10	16	19	19	24	31	27
ENSG00000021776	539	479	532	1102	1129	982	1422	1939	2026
ENSG00000021826	219	171	239	426	382	352	554	602	701
ENSG00000021852	0	0	0	2	0	0	0	0	1
ENSG00000022267	665	516	426	771	617	566	911	1173	1218
ENSG00000022277	419	348	339	743	603	640	1223	1119	1282
ENSG00000022355	5	1	4	1	2	9	19	18	29
ENSG00000022556	0	0	0	1	0	0	4	1	0
ENSG00000022567	39	33	39	94	84	56	156	151	155
ENSG00000022840	394	252	290	583	501	501	948	948	1058
ENSG00000022976	77	65	67	142	148	128	179	245	258
ENSG00000023041	313	212	240	640	650	521	931	979	1111
ENSG00000023171	41	53	40	81	90	64	155	141	185
ENSG00000023191	32	33	33	53	64	52	98	62	98
ENSG00000023228	1934	1570	1620	2923	3085	2707	4045	5205	5610
ENSG00000023287	1552	1444	1455	2696	2839	2374	2847	4783	4739
ENSG00000023318	868	731	711	1409	1466	1328	1912	2615	2695
ENSG00000023330	266	172	190	328	325	310	554	610	650
ENSG00000023445	20	22	7	37	49	26	50	59	57
ENSG00000023516	1157	932	1029	2044	2081	1844	2515	3638	3702
ENSG00000023572	61	26	44	80	113	94	112	134	115
ENSG00000023608	253	280	189	454	498	443	554	872	834
ENSG00000023697	317	263	239	376	473	416	528	752	868
ENSG00000023734	3300	2668	2330	4377	4517	4004	6156	8620	8428
ENSG00000023839	11	6	3	18	11	15	33	33	27
ENSG00000023892	3	10	7	14	11	13	44	20	34
ENSG00000023902	86	69	57	132	125	121	200	244	268
ENSG00000023909	189	169	180	374	435	358	538	738	703
ENSG00000024048	877	765	796	1527	1607	1330	1990	2649	2781
ENSG00000024422	8	4	3	8	11	20	20	21	25
ENSG00000024526	1725	1324	1349	3033	3475	2687	3695	5421	5218
ENSG00000024862	144	97	89	179	140	153	187	249	283
ENSG00000025039	368	280	278	531	559	488	726	1027	1009
ENSG00000025156	691	631	546	1160	1051	928	1262	1770	1860
ENSG00000025293	352	266	316	563	609	556	754	940	1024
ENSG00000025423	39	57	32	75	88	65	93	147	166
ENSG00000025434	47	39	36	72	83	73	117	119	136
ENSG00000025708	0	0	0	0	2	0	1	1	0
ENSG00000025770	84	62	46	125	107	100	202	197	251
ENSG00000025772	222	178	175	252	308	267	404	553	641
ENSG00000025796	1295	1176	1183	2065	2125	1889	2629	3798	4150
ENSG00000025800	838	578	753	1588	1516	1379	3078	3005	3443
ENSG00000026025	3523	2730	2519	4173	3846	3548	5700	6923	7761
ENSG00000026036	1	0	3	1	0	1	1	1	1
ENSG00000026103	81	76	77	141	138	110	177	216	225
ENSG00000026297	118	75	103	165	192	194	198	238	303
ENSG00000026508	9	10	6	12	5	4	18	12	14
ENSG00000026559	19	26	16	55	37	42	67	79	79
ENSG00000026652	108	71	90	183	186	173	265	307	315
ENSG00000026751	0	0	0	3	2	1	6	1	3
ENSG00000026950	74	56	55	113	149	128	166	225	253
ENSG00000027001	158	86	108	150	234	157	300	337	334
ENSG00000027075	74	41	53	115	103	77	152	161	171
ENSG00000027644	0	1	0	0	1	0	4	0	0
ENSG00000027697	385	382	344	680	664	612	780	1227	1127
ENSG00000027847	23	24	23	73	69	69	86	96	91
ENSG00000027869	11	2	7	3	6	10	13	12	13
ENSG00000028116	406	320	295	647	707	566	787	1154	1176
ENSG00000028137	1	1	0	2	0	2	6	4	8
ENSG00000028203	627	579	690	1339	1301	1182	1669	2108	2426
ENSG00000028277	8	6	4	8	7	9	13	19	17
ENSG00000028310	226	204	274	486	427	480	648	848	948
ENSG00000028528	203	157	159	360	366	350	495	547	614
ENSG00000028839	205	151	156	283	302	255	331	421	446
ENSG00000029153	617	487	468	834	952	831	1137	1744	1744
ENSG00000029363	5778	5284	5738	11428	12207	10361	14350	20257	21864
